"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode","thrpt",4,5,"12,443166","4,020150","ops/s"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.alloc.rate","thrpt",4,5,NaN,NaN,"MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Eden_Space","thrpt",4,5,"88,110047","44,692138","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Eden_Space.norm","thrpt",4,5,"8143264,529647","3821901,670839","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Old_Gen","thrpt",4,5,"3,113464","26,807863","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Old_Gen.norm","thrpt",4,5,"295221,082993","2541942,557753","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Survivor_Space","thrpt",4,5,"4,105134","6,369296","MB/sec"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.churn.G1_Survivor_Space.norm","thrpt",4,5,"382232,920450","603291,457823","B/op"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.count","thrpt",4,5,"5,200000","8,347997","counts"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumCommittedAfterGc","thrpt",4,5,"1660013772,800000","451427,779550","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.maximumUsedAfterGc","thrpt",4,5,"954255472,000000","0,000000","bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+c2k.gc.time","thrpt",4,5,"441,400000","340,565456","ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.gcTimeMillis","thrpt",4,1,"1813,000000",NaN,"ms"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed","thrpt",4,1,"5338024,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.heapUsed.after","thrpt",4,1,"5334176,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.total","thrpt",4,1,"42270720,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted","thrpt",4,1,"42270720,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalCommitted.after","thrpt",4,1,"42270720,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed","thrpt",4,1,"21943368,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.totalUsed.after","thrpt",4,1,"21917280,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.after","thrpt",4,1,"21917280,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.used.settled","thrpt",4,1,"21943368,000000",NaN,"bytes"
"pl.hendzel.searchappjdk8.StringsBenchmark.subStringDecode:+forced-gc-mem.usedHeap","thrpt",4,1,"5661600,000000",NaN,"bytes"
